Date,@payload.userId
2025-11-26T08:10:35.136Z,10598558
2025-11-26T08:10:13.621Z,20257266
2025-11-26T08:06:48.258Z,9705025
2025-11-26T08:06:39.123Z,7849115
2025-11-26T08:03:25.948Z,22894988
2025-11-26T08:02:15.717Z,15906741
2025-11-26T08:00:13.611Z,44992246
2025-11-26T07:59:28.018Z,13059005
2025-11-26T07:58:53.275Z,44749116
2025-11-26T07:58:13.222Z,3516792
2025-11-26T07:56:04.636Z,37875859
2025-11-26T07:54:54.988Z,12020490
2025-11-26T07:53:24.138Z,11938448
2025-11-26T07:52:29.869Z,9705025
2025-11-26T07:52:04.031Z,28165807
2025-11-26T07:51:20.298Z,13574398
2025-11-26T07:50:22.915Z,12466962
2025-11-26T07:46:53.645Z,16806987
2025-11-26T07:45:40.623Z,13409607
2025-11-26T07:45:39.505Z,20363097
2025-11-26T07:44:09.904Z,10499129
2025-11-26T07:42:44.882Z,30331879
2025-11-26T07:40:57.936Z,7857328
2025-11-26T07:33:51.489Z,14442169
2025-11-26T07:33:04.764Z,11315172
2025-11-26T07:32:41.871Z,29584993
2025-11-26T07:32:18.440Z,11599254
2025-11-26T07:30:59.147Z,11065133
2025-11-26T07:30:08.214Z,11086116
2025-11-26T07:29:28.342Z,17006620
2025-11-26T07:27:05.343Z,39385673
2025-11-26T07:25:05.501Z,35416516
2025-11-26T07:24:01.527Z,10889909
2025-11-26T07:23:35.706Z,20999738
2025-11-26T07:16:43.659Z,5164498
2025-11-26T07:15:40.863Z,27984174
2025-11-26T07:12:11.748Z,12314365
2025-11-26T07:10:58.379Z,12433929
2025-11-26T07:10:53.287Z,14694742
2025-11-26T07:07:35.193Z,15377037
2025-11-26T07:06:56.125Z,3487854
2025-11-26T07:06:01.802Z,3516792
2025-11-26T07:03:18.574Z,3516792
2025-11-26T07:02:46.582Z,11170733
2025-11-26T06:59:01.305Z,12314365
2025-11-26T06:58:10.932Z,12474558
2025-11-26T06:56:35.438Z,45273760
2025-11-26T06:54:50.004Z,44569155
2025-11-26T06:54:18.708Z,773403
2025-11-26T06:52:15.737Z,14093993
2025-11-26T06:51:05.844Z,9579032
2025-11-26T06:50:40.616Z,21474116
2025-11-26T06:50:16.404Z,16724171
2025-11-26T06:49:42.592Z,27528907
2025-11-26T06:47:28.721Z,13082361
2025-11-26T06:46:21.609Z,20999738
2025-11-26T06:46:13.875Z,30074518
2025-11-26T06:45:47.259Z,10782655
2025-11-26T06:45:45.370Z,4056178
2025-11-26T06:43:46.209Z,7037215
2025-11-26T06:43:38.923Z,28235750
2025-11-26T06:42:17.302Z,12539814
2025-11-26T06:41:06.291Z,6883848
2025-11-26T06:38:58.688Z,11096986
2025-11-26T06:37:43.603Z,14694742
2025-11-26T06:36:43.872Z,15316777
2025-11-26T06:36:26.930Z,12650777
2025-11-26T06:34:38.316Z,13318884
2025-11-26T06:33:32.783Z,4167976
2025-11-26T06:32:59.229Z,148502
2025-11-26T06:32:36.056Z,12137347
2025-11-26T06:31:32.179Z,22425057
2025-11-26T06:27:02.782Z,19472379
2025-11-26T06:26:19.471Z,10793034
2025-11-26T06:25:42.902Z,15953157
2025-11-26T06:25:06.879Z,11154228
2025-11-26T06:24:51.696Z,15316777
2025-11-26T06:20:23.071Z,1717793
2025-11-26T06:19:49.928Z,15953157
2025-11-26T06:19:10.591Z,44749116
2025-11-26T06:18:52.121Z,11096146
2025-11-26T06:16:55.645Z,10889290
2025-11-26T06:15:30.122Z,19471797
2025-11-26T06:13:18.185Z,11743295
2025-11-26T06:13:04.994Z,4298059
2025-11-26T06:11:56.533Z,9046356
