Date,user_id
2025-11-26T07:40:57.146Z,7857328
2025-11-26T07:40:49.791Z,20858515
2025-11-26T07:40:35.795Z,1143457
2025-11-26T07:40:15.566Z,42891442
2025-11-26T07:40:11.900Z,31810448
2025-11-26T07:39:34.740Z,40872840
2025-11-26T07:39:30.987Z,28328594
2025-11-26T07:39:29.538Z,17075777
2025-11-26T07:38:28.038Z,10762673
2025-11-26T07:38:25.334Z,42891442
2025-11-26T07:37:08.350Z,46555295
2025-11-26T07:36:54.275Z,46846547
2025-11-26T07:36:37.270Z,46051571
2025-11-26T07:36:26.597Z,42337291
2025-11-26T07:35:46.801Z,29157010
2025-11-26T07:35:03.566Z,35160819
2025-11-26T07:34:41.498Z,19299193
2025-11-26T07:34:14.799Z,27561478
2025-11-26T07:33:58.930Z,3460754
2025-11-26T07:33:50.798Z,14442169
2025-11-26T07:33:31.742Z,39119802
2025-11-26T07:33:06.697Z,16869176
2025-11-26T07:33:03.795Z,11315172
2025-11-26T07:32:41.246Z,29584993
2025-11-26T07:32:17.731Z,11599254
2025-11-26T07:32:15.405Z,17302266
2025-11-26T07:31:34.626Z,44385063
2025-11-26T07:31:28.490Z,15377037
2025-11-26T07:30:58.645Z,11065133
2025-11-26T07:30:17.490Z,10865642
2025-11-26T07:30:15.439Z,14347196
2025-11-26T07:30:08.928Z,39086890
2025-11-26T07:30:07.450Z,11086116
2025-11-26T07:29:42.862Z,44065000
2025-11-26T07:29:36.766Z,11149366
2025-11-26T07:29:27.823Z,17006620
2025-11-26T07:28:47.717Z,17499234
2025-11-26T07:28:08.565Z,43551809
2025-11-26T07:27:55.526Z,15691530
2025-11-26T07:27:28.554Z,38378605
2025-11-26T07:27:04.577Z,39385673
2025-11-26T07:26:07.717Z,45367183
2025-11-26T07:25:25.118Z,12397068
2025-11-26T07:25:04.658Z,35416516
2025-11-26T07:24:00.670Z,10889909
2025-11-26T07:23:36.461Z,22543899
2025-11-26T07:23:35.065Z,20999738
2025-11-26T07:23:19.172Z,20528888
2025-11-26T07:22:57.447Z,42873066
2025-11-26T07:22:55.465Z,44934531
2025-11-26T07:22:27.915Z,29605675
2025-11-26T07:20:28.114Z,38913344
2025-11-26T07:19:44.423Z,44507826
2025-11-26T07:19:32.425Z,39044183
2025-11-26T07:19:26.077Z,36301057
2025-11-26T07:19:21.983Z,38878425
2025-11-26T07:19:11.464Z,44927121
2025-11-26T07:19:06.451Z,39209500
2025-11-26T07:18:37.908Z,37426309
2025-11-26T07:18:26.834Z,6210094
2025-11-26T07:18:06.879Z,25735355
2025-11-26T07:18:01.839Z,29246381
2025-11-26T07:16:43.184Z,5164498
2025-11-26T07:16:28.068Z,45753997
2025-11-26T07:15:50.049Z,30645312
2025-11-26T07:15:40.007Z,27984174
2025-11-26T07:15:22.006Z,8228941
2025-11-26T07:15:01.924Z,22727995
2025-11-26T07:14:47.930Z,14370663
2025-11-26T07:14:43.385Z,12960286
2025-11-26T07:14:37.406Z,31717328
2025-11-26T07:14:28.372Z,19696942
2025-11-26T07:14:19.268Z,46850938
2025-11-26T07:14:07.744Z,14140474
2025-11-26T07:13:37.330Z,29625112
2025-11-26T07:13:21.753Z,12327010
2025-11-26T07:13:20.663Z,13478316
2025-11-26T07:13:11.629Z,14178124
2025-11-26T07:12:38.516Z,14218742
2025-11-26T07:12:29.562Z,10406954
2025-11-26T07:12:23.609Z,6941314
2025-11-26T07:12:10.999Z,12314365
